year,total_seats,dmk_alliance_seats,dmk_alliance_vote_pct,admk_alliance_seats,admk_alliance_vote_pct,others_seats,others_vote_pct,winning_alliance
1977,234,48,24.89,130,30.36,56,44.75,ADMK
1980,234,37,22.10,129,38.75,68,39.15,ADMK
1984,234,24,29.34,132,37.03,78,33.63,ADMK
1989,234,150,33.18,29,21.77,55,45.05,DMK
1991,234,2,22.46,164,44.39,68,33.15,ADMK
1996,234,173,42.07,4,20.58,57,37.35,DMK
2001,234,31,30.92,132,31.44,71,37.64,ADMK
2006,234,96,26.46,61,32.64,77,40.90,DMK
2011,234,23,22.39,150,38.40,61,39.21,ADMK
2016,234,89,31.86,136,41.06,9,27.08,ADMK
2021,234,133,37.70,66,33.29,35,28.01,DMK
