year,total_seats,winner_party,winner_seats,winner_vote_pct,runner_party,runner_seats,runner_vote_pct,third_party,third_seats,third_vote_pct
1967,234,DMK,137,40.69,INC,51,41.10,Swatantra,20,5.30
1971,234,DMK,184,48.58,INC(O),15,34.99,CPI,8,2.32
1977,234,ADMK,130,30.36,DMK,48,24.89,INC,27,17.50
1980,234,ADMK,129,38.75,DMK,37,22.10,INC(I),31,20.92
1984,234,ADMK,132,37.03,INC,61,16.28,DMK,24,29.34
1989,234,DMK,150,33.18,ADMK,29,21.77,INC,26,19.83
1991,234,ADMK,164,44.39,INC,60,15.19,DMK,2,22.46
1996,234,DMK,173,42.07,TMC,39,9.30,CPI,8,2.12
2001,234,ADMK,132,31.44,DMK,31,30.92,TMC,23,6.73
2006,234,DMK,96,26.46,ADMK,61,32.64,INC,34,8.38
2011,234,ADMK,150,38.40,DMDK,29,7.88,DMK,23,22.39
2016,234,ADMK,136,41.06,DMK,89,31.86,INC,8,6.42
2021,234,DMK,133,37.70,ADMK,66,33.29,INC,18,4.27
